c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,FRA5	: 	: 	: 	: 	: 	: 	: 	0 	0 	: c	: 	: 
FOR,NR,I551-I553,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2307454 u	2373947 u
FOR,NR,I551-I553,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1303794 u	1294203 u
FOR,NR,I551-I553,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2635065 u	2766561 u
FOR,NR,I551-I553,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2224649 u	2610067 u
FOR,NR,I551-I553,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3959487 u	4184821 u
FOR,NR,I551-I553,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2172898 u	2402926 u
FOR,NR,I551-I553,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3342617 	3454903 
FOR,NR,I551-I553,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4121937 	4615761 
FOR,NR,I551-I553,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8290449 	8808108 
FOR,NR,I551-I553,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2132476 u	2357895 u
FOR,NR,I551-I553,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8812639 	8703592 
FOR,NR,I551-I553,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4599540 	4442588 
FOR,NR,I551-I553,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	966217 u	852663 u
FOR,NR,I551-I553,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14709691 	15208859 
FOR,NR,I551-I553,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17884992 	17644768 
FOR,NR,I551-I553,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3240045 	3366182 
FOR,NR,I551-I553,FRY1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	263539 u	250903 u
FOR,NR,I551-I553,FRY2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	199716 u	180925 u
FOR,NR,I551-I553,FRY3	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89260 u	102763 u
FOR,NR,I551-I553,FRY4	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	184228 	195100 
FOR,NR,I551-I553,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
FOR,NR,I551-I553,HR03	32512039 	32680140 	32209949 	32053066 	34111328 	55609647 	57646178 	59151986 	63493838 	69547689 	77141779 	79745457 
FOR,NR,I551-I553,HR04	1189886 	1222595 	1147895 	1181816 	1277674 	1470320 	1732718 	1920675 	2189172 	2516893 	3035025 	3394416 
FOR,NR,I551-I553,HU10	5516465 	5383090 	4981579 	5228813 	5680852 	6741369 b	7142684 	7445571 	8013855 	8498252 	: 	: 
FOR,NR,I551-I553,HU11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8847060 	9031633 
FOR,NR,I551-I553,HU12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	336981 	408724 
FOR,NR,I551-I553,HU21	993835 	951573 	771528 	699738 	679352 	786596 	764244 	791595 	827733 	832306 	927649 	979633 
FOR,NR,I551-I553,HU22	1819355 	1838694 	1830545 	1920783 	2049915 	2179488 	2235675 	2208115 	2199450 	2380682 	2559713 	2548209 
FOR,NR,I551-I553,HU23	692701 	663494 	573612 	498408 	429770 	527327 	615068 	593753 	572041 	591713 	645276 	632447 
FOR,NR,I551-I553,HU31	243390 	277788 	262724 	233770 	259976 	287005 	335621 	376113 	395631 	443094 	461691 	473396 
FOR,NR,I551-I553,HU32	643311 	630706 	556797 	548102 	523366 	551776 	562337 	597848 	612785 	674813 	707099 	754580 
FOR,NR,I551-I553,HU33	261751 	264186 	243363 	228759 	297108 	318622 	327254 	338335 	340900 	381185 	456312 	511827 
FOR,NR,I551-I553,IE01	: 	: 	: 	: 	: u	: 	2586576 	2738026 e	2590641 e	2986794 e	: 	: 
FOR,NR,I551-I553,IE02	: 	: 	: 	: 	: u	: 	8285230 	8538398 e	10871707 e	13203587 e	: 	: 
FOR,NR,I551-I553,IS00	1838330 	1894457 	2028069 	2089527 	2384477 	2873790 	3366252 	4404834 	5605634 	6764038 	: 	: 
FOR,NR,I551-I553,ITC1	4342545 	4086828 	3815154 	4227119 	4420000 	5126185 	5054548 	5151959 	5994857 	5863860 	6349307 	6633473 
FOR,NR,I551-I553,ITC2	1003527 	1069843 	984505 	1003734 	1102246 	1130915 	1117940 	1211654 	1283293 	1367536 	1434422 	1520361 
FOR,NR,I551-I553,ITC3	3992640 	4145715 	4089970 	4269574 	4650342 	4669572 	5230950 	5321684 	5737319 	6034916 	6301651 	6261410 
FOR,NR,I551-I553,ITC4	14780437 	14829365 	15443697 	16682773 	18485396 	19074599 	19300473 	19677303 	21733272 	22289211 	23974518 	23452946 
FOR,NR,I551-I553,ITF1	988148 	1020643 	831818 	925884 	1009512 	1030797 	980193 	870288 	814265 	874792 	865664 	867834 
FOR,NR,I551-I553,ITF2	74427 	49655 	46826 	51389 	55745 	41813 	42854 	42157 	47099 	44943 	42197 	35891 
FOR,NR,I551-I553,ITF3	8373421 	7608107 	6976320 	7403277 	8242638 	7976125 	8115338 	8176727 	8672439 	9352276 	9546835 	10421059 
